Date,car_num
2019-09-01,9253.5
2019-09-16,18507.0
2019-10-01,7342.0
2019-10-16,14684.0
2019-11-01,8591.5
2019-11-16,17183.0
2019-12-01,3152.0
2019-12-16,6304.0
2020-01-01,21661.0
2020-01-16,43322.0
2020-02-01,12709.0
2020-02-16,25418.0
2020-03-01,9391.0
2020-03-16,18782.0
2020-04-01,1318.5
2020-04-16,2637.0
2020-05-01,5566.0
2020-05-16,11132.0
2020-06-01,11038.0
2020-06-16,22076.0
2020-07-01,11671.5
2020-07-16,23343.0
2020-08-01,10359.0
2020-08-16,20718.0
2020-09-01,9513.0
2020-09-16,19026.0
2020-10-01,7477.5
2020-10-16,14955.0
2020-11-01,7979.5
2020-11-16,15959.0
2020-12-01,2374.0
2020-12-16,4748.0
2021-01-01,24758.5
2021-01-16,49517.0
2021-02-01,13013.5
2021-02-16,26027.0
2021-03-01,13726.0
2021-03-16,27452.0
2021-04-01,12963.0
2021-04-16,25926.0
2021-05-01,13987.5
2021-05-16,27975.0
2021-06-01,16486.5
2021-06-16,32973.0
2021-07-01,13710.0
2021-07-16,27420.0
2021-08-01,13928.5
2021-08-16,27857.0
2021-09-01,6634.0
2021-09-16,13268.0
2021-10-01,9976.5
2021-10-16,19953.0
2021-11-01,8241.5
2021-11-16,16483.0
2021-12-01,3306.5
2021-12-16,6613.0
2022-01-01,19272.5
2022-01-16,38545.0
2022-02-01,13015.0
2022-02-16,26030.0
2022-03-01,14347.5
2022-03-16,28695.0
2022-04-01,10588.0
2022-04-16,21176.0
2022-05-01,12933.5
2022-05-16,25867.0
2022-06-01,11884.0
2022-06-16,23768.0
2022-07-01,11328.0
2022-07-16,22656.0
2022-08-01,10726.5
2022-08-16,21453.0
2022-09-01,8885.5
2022-09-16,17771.0
2022-10-01,8578.0
2022-10-16,17156.0
2022-11-01,11492.0
2022-11-16,22984.0
2022-12-01,5881.0
2022-12-16,11762.0
2023-01-01,24292.5
2023-01-16,48585.0
2023-02-01,14952.5
2023-02-16,29905.0
2023-03-01,15659.5
2023-03-16,31319.0
2023-04-01,9597.5
2023-04-16,19195.0
2023-05-01,12554.0
2023-05-16,25108.0
2023-06-01,12773.0
2023-06-16,25546.0
2023-07-01,12062.0
2023-07-16,24124.0
2023-08-01,12733.5
2023-08-16,25467.0
2023-09-01,9351.5
2023-09-16,18703.0
2023-10-01,6033.0
2023-10-16,12066.0
2023-11-01,6582.5
2023-11-16,13165.0
2023-12-01,2454.0
2023-12-16,4908.0
2024-01-01,19244.0
2024-01-16,38488.0
2024-02-01,13420.5
2024-02-16,26841.0
