Date,CO
2010-01-01,1.1857142857142857
2010-01-16,1.0925
2010-02-01,1.1901111111111111
2010-02-16,1.2071794871794872
2010-03-01,1.06
2010-03-16,0.8125
2010-04-01,0.8677777777777778
2010-04-16,0.861111111111111
2010-05-01,0.8533333333333334
2010-05-16,0.7760416666666666
2010-06-01,0.7882222222222223
2010-06-16,0.8200000000000001
2010-07-01,0.772888888888889
2010-07-16,0.91625
2010-08-01,0.9346666666666666
2010-08-16,0.9797916666666667
2010-09-01,0.8977777777777778
2010-09-16,0.9655555555555556
2010-10-01,0.9388888888888889
2010-10-16,1.0
2010-11-01,1.0622222222222222
2010-11-16,1.151111111111111
2010-12-01,1.108
2010-12-16,1.1020833333333333
2011-01-01,0.9955555555555555
2011-01-16,0.9937499999999999
2011-02-01,0.9366666666666668
2011-02-16,0.8082051282051282
2011-03-01,0.7580000000000001
2011-03-16,0.7518750000000001
2011-04-01,0.6973333333333334
2011-04-16,0.6877777777777777
2011-05-01,0.574
2011-05-16,0.6229166666666667
2011-06-01,0.49
2011-06-16,0.55
2011-07-01,0.4811111111111111
2011-07-16,0.4427083333333333
2011-08-01,0.3088888888888889
2011-08-16,0.3541666666666667
2011-09-01,0.44666666666666666
2011-09-16,0.4244444444444444
2011-10-01,0.3944444444444445
2011-10-16,0.3385416666666667
2011-11-01,0.4022222222222222
2011-11-16,0.4077777777777778
2011-12-01,0.5944444444444444
2011-12-16,0.5614583333333334
2012-01-01,0.4011111111111111
2012-01-16,0.40208333333333335
2012-02-01,0.45444444444444443
2012-02-16,0.4333333333333333
2012-03-01,0.3684444444444444
2012-03-16,0.390625
2012-04-01,0.4955555555555556
2012-04-16,0.35444444444444445
2012-05-01,0.38
2012-05-16,0.3229166666666667
2012-06-01,0.39555555555555555
2012-06-16,0.4484444444444444
2012-07-01,0.47977777777777775
2012-07-16,0.45416666666666666
2012-08-01,0.4444444444444445
2012-08-16,0.4354166666666667
2012-09-01,0.42888888888888893
2012-09-16,0.3277777777777778
2012-10-01,0.3622222222222222
2012-10-16,0.39999999999999997
2012-11-01,0.4122222222222222
2012-11-16,0.44066666666666665
2012-12-01,0.42133333333333334
2012-12-16,0.47625
2013-01-01,0.40285714285714286
2013-01-16,0.47901785714285716
2013-02-01,0.424920634920635
2013-02-16,0.4163003663003663
2013-03-01,0.37184126984126986
2013-03-16,0.32410714285714287
2013-04-01,0.3326984126984127
2013-04-16,0.3377777777777778
2013-05-01,0.3756507936507936
2013-05-16,0.36101190476190476
2013-06-01,0.3466666666666667
2013-06-16,0.3377777777777778
2013-07-01,0.36682539682539683
2013-07-16,0.4544642857142857
2013-08-01,0.37793650793650796
2013-08-16,0.3980654761904762
2013-09-01,0.369047619047619
2013-09-16,0.3323809523809524
2013-10-01,0.40095238095238095
2013-10-16,0.5133928571428571
2013-11-01,0.5685714285714286
2013-11-16,0.5952380952380952
2013-12-01,0.47847619047619044
2013-12-16,0.6955357142857143
2014-01-01,0.6523809523809524
2014-01-16,0.6625
2014-02-01,0.5323809523809524
2014-02-16,0.5208791208791209
2014-03-01,0.39714285714285713
2014-03-16,0.4033928571428571
2014-04-01,0.3695238095238096
2014-04-16,0.33142857142857146
2014-05-01,0.33809523809523806
2014-05-16,0.34095238095238095
2014-06-01,0.33999999999999997
2014-06-16,0.3615873015873016
2014-07-01,0.35952380952380947
2014-07-16,0.3607142857142857
2014-08-01,0.3628571428571429
2014-08-16,0.43392857142857144
2014-09-01,0.3923809523809524
2014-09-16,0.3638095238095238
2014-10-01,0.43174603174603177
2014-10-16,0.44479166666666664
2014-11-01,0.539047619047619
2014-11-16,0.4819047619047619
2014-12-01,0.6828571428571428
2014-12-16,0.6830357142857143
2015-01-01,0.44666666666666666
2015-01-16,0.7241071428571428
2015-02-01,0.5057142857142857
2015-02-16,0.4401098901098901
2015-03-01,0.4253968253968254
2015-03-16,0.39375
2015-04-01,0.35809523809523813
2015-04-16,0.41619047619047617
2015-05-01,0.37619047619047624
2015-05-16,0.3767857142857143
2015-06-01,0.3657142857142857
2015-06-16,0.41333333333333333
2015-07-01,0.4276190476190476
2015-07-16,0.46785714285714286
2015-08-01,0.4857142857142857
2015-08-16,0.41964285714285715
2015-09-01,0.4815873015873016
2015-09-16,0.43523809523809526
2015-10-01,0.44380952380952376
2015-10-16,0.528720238095238
2015-11-01,0.489047619047619
2015-11-16,0.580952380952381
2015-12-01,0.6
2015-12-16,0.6477678571428571
2016-01-01,0.593015873015873
2016-01-16,0.5885416666666666
2016-02-01,0.6163492063492063
2016-02-16,0.5073129251700681
2016-03-01,0.4311111111111111
2016-03-16,0.375
2016-04-01,0.44285714285714284
2016-04-16,0.3780952380952381
2016-05-01,0.3361904761904762
2016-05-16,0.3319940476190476
2016-06-01,0.37238095238095237
2016-06-16,0.39936507936507937
2016-07-01,0.3979365079365079
2016-07-16,0.35907738095238095
2016-08-01,0.4114285714285714
2016-08-16,0.4241071428571429
2016-09-01,0.45428571428571435
2016-09-16,0.49047619047619045
2016-10-01,0.46015873015873016
2016-10-16,0.5227678571428571
2016-11-01,0.5393650793650794
2016-11-16,0.406031746031746
2016-12-01,0.4752380952380952
2016-12-16,0.4686011904761905
2017-01-01,0.5009523809523809
2017-01-16,0.5038690476190476
2017-02-01,0.47047619047619044
2017-02-16,0.47326007326007324
2017-03-01,0.39634920634920634
2017-03-16,0.3912202380952381
2017-04-01,0.2857142857142857
2017-04-16,0.32190476190476197
2017-05-01,0.33714285714285713
2017-05-16,0.30892857142857144
2017-06-01,0.34095238095238095
